type,sequence len,errors,corrects,0
m,10,0,2.0,1
m,10,0,7.0,1
m,10,0,10.0,112
m,10,1,2.0,1
m,10,1,3.0,1
m,10,1,9.0,2
m,10,1,10.0,118
m,10,2,4.0,1
m,10,2,5.0,1
m,10,2,6.0,1
m,10,2,8.0,2
m,10,2,9.0,2
m,10,2,10.0,125
m,10,3,2.0,1
m,10,3,3.0,1
m,10,3,5.0,1
m,10,3,6.0,2
m,10,3,7.0,1
m,10,3,8.0,2
m,10,3,9.0,2
m,10,3,10.0,103
m,10,4,2.0,4
m,10,4,3.0,1
m,10,4,4.0,2
m,10,4,5.0,1
m,10,4,7.0,2
m,10,4,8.0,1
m,10,4,9.0,7
m,10,4,10.0,111
m,15,0,4.0,2
m,15,0,6.0,1
m,15,0,15.0,126
m,15,1,7.0,1
m,15,1,8.0,1
m,15,1,15.0,122
m,15,2,3.0,3
m,15,2,8.0,1
m,15,2,9.0,1
m,15,2,11.0,1
m,15,2,12.0,3
m,15,2,15.0,122
m,15,3,4.0,1
m,15,3,7.0,3
m,15,3,9.0,2
m,15,3,13.0,1
m,15,3,14.0,1
m,15,3,15.0,116
m,15,4,1.0,1
m,15,4,4.0,1
m,15,4,8.0,1
m,15,4,9.0,1
m,15,4,10.0,1
m,15,4,12.0,2
m,15,4,14.0,4
m,15,4,15.0,119
m,15,5,3.0,3
m,15,5,7.0,1
m,15,5,9.0,1
m,15,5,10.0,1
m,15,5,12.0,2
m,15,5,14.0,3
m,15,5,15.0,122
m,15,6,3.0,4
m,15,6,5.0,2
m,15,6,9.0,1
m,15,6,10.0,1
m,15,6,12.0,2
m,15,6,13.0,2
m,15,6,14.0,1
m,15,6,15.0,97
m,20,0,1.0,1
m,20,0,4.0,1
m,20,0,5.0,2
m,20,0,10.0,1
m,20,0,20.0,123
m,20,1,8.0,2
m,20,1,9.0,1
m,20,1,14.0,1
m,20,1,15.0,1
m,20,1,19.0,2
m,20,1,20.0,110
m,20,2,3.0,1
m,20,2,4.0,2
m,20,2,5.0,1
m,20,2,7.0,1
m,20,2,10.0,1
m,20,2,14.0,1
m,20,2,15.0,1
m,20,2,16.0,1
m,20,2,20.0,127
m,20,3,4.0,1
m,20,3,8.0,1
m,20,3,10.0,2
m,20,3,11.0,1
m,20,3,16.0,1
m,20,3,19.0,2
m,20,3,20.0,118
m,20,4,4.0,1
m,20,4,5.0,1
m,20,4,7.0,1
m,20,4,8.0,1
m,20,4,9.0,1
m,20,4,11.0,1
m,20,4,12.0,1
m,20,4,13.0,1
m,20,4,17.0,1
m,20,4,18.0,1
m,20,4,20.0,135
m,20,5,3.0,1
m,20,5,4.0,3
m,20,5,14.0,1
m,20,5,19.0,2
m,20,5,20.0,92
m,20,6,3.0,4
m,20,6,5.0,1
m,20,6,6.0,1
m,20,6,8.0,1
m,20,6,10.0,1
m,20,6,12.0,1
m,20,6,13.0,1
m,20,6,15.0,1
m,20,6,16.0,1
m,20,6,18.0,1
m,20,6,19.0,2
m,20,6,20.0,90
m,20,7,3.0,2
m,20,7,4.0,1
m,20,7,5.0,1
m,20,7,6.0,1
m,20,7,7.0,1
m,20,7,12.0,1
m,20,7,13.0,1
m,20,7,14.0,1
m,20,7,15.0,2
m,20,7,17.0,1
m,20,7,19.0,2
m,20,7,20.0,115
m,20,8,1.0,1
m,20,8,3.0,1
m,20,8,6.0,1
m,20,8,7.0,1
m,20,8,8.0,2
m,20,8,9.0,1
m,20,8,10.0,1
m,20,8,12.0,1
m,20,8,14.0,1
m,20,8,15.0,2
m,20,8,17.0,1
m,20,8,19.0,5
m,20,8,20.0,102
m,25,0,5.0,1
m,25,0,7.0,1
m,25,0,10.0,1
m,25,0,16.0,1
m,25,0,21.0,2
m,25,0,25.0,121
m,25,1,3.0,1
m,25,1,4.0,3
m,25,1,9.0,1
m,25,1,12.0,1
m,25,1,16.0,1
m,25,1,17.0,1
m,25,1,25.0,103
m,25,10,3.0,2
m,25,10,5.0,1
m,25,10,9.0,1
m,25,10,16.0,1
m,25,10,17.0,2
m,25,10,20.0,1
m,25,10,23.0,2
m,25,10,24.0,4
m,25,10,25.0,117
m,25,2,9.0,1
m,25,2,13.0,1
m,25,2,16.0,1
m,25,2,17.0,1
m,25,2,21.0,1
m,25,2,23.0,1
m,25,2,24.0,2
m,25,2,25.0,121
m,25,3,3.0,1
m,25,3,10.0,1
m,25,3,16.0,1
m,25,3,20.0,1
m,25,3,21.0,1
m,25,3,23.0,2
m,25,3,24.0,1
m,25,3,25.0,119
m,25,4,6.0,1
m,25,4,17.0,1
m,25,4,18.0,1
m,25,4,21.0,1
m,25,4,23.0,1
m,25,4,24.0,3
m,25,4,25.0,139
m,25,5,5.0,2
m,25,5,10.0,1
m,25,5,12.0,1
m,25,5,19.0,1
m,25,5,23.0,1
m,25,5,25.0,111
m,25,6,2.0,1
m,25,6,3.0,1
m,25,6,4.0,1
m,25,6,7.0,1
m,25,6,8.0,3
m,25,6,13.0,1
m,25,6,16.0,2
m,25,6,20.0,1
m,25,6,21.0,1
m,25,6,22.0,1
m,25,6,24.0,5
m,25,6,25.0,121
m,25,7,2.0,1
m,25,7,3.0,1
m,25,7,4.0,1
m,25,7,6.0,2
m,25,7,7.0,1
m,25,7,9.0,1
m,25,7,11.0,1
m,25,7,14.0,1
m,25,7,17.0,1
m,25,7,18.0,1
m,25,7,23.0,1
m,25,7,24.0,4
m,25,7,25.0,108
m,25,8,10.0,2
m,25,8,11.0,1
m,25,8,18.0,1
m,25,8,20.0,1
m,25,8,21.0,1
m,25,8,24.0,4
m,25,8,25.0,115
m,25,9,3.0,2
m,25,9,4.0,2
m,25,9,5.0,1
m,25,9,7.0,1
m,25,9,8.0,1
m,25,9,10.0,1
m,25,9,18.0,1
m,25,9,24.0,3
m,25,9,25.0,87
m,30,0,13.0,1
m,30,0,14.0,1
m,30,0,24.0,2
m,30,0,30.0,108
m,30,1,8.0,1
m,30,1,13.0,1
