타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,5,0,2,31,31,31
m,5,0,3,13,13,13
m,5,0,4,6,6,6
m,5,0,5,2380,2380,2380
m,5,1,1,5,5,5
m,5,1,2,29,29,29
m,5,1,3,21,21,21
m,5,1,4,57,57,57
m,5,1,5,2379,2379,2379
m,5,2,1,37,37,37
m,5,2,2,92,92,92
m,5,2,3,93,93,93
m,5,2,4,110,110,110
m,5,2,5,2189,2189,2189
m,10,0,1,3,3,3
m,10,0,2,18,18,18
m,10,0,3,6,6,6
m,10,0,4,10,10,10
m,10,0,5,1,1,1
m,10,0,6,5,5,5
m,10,0,7,5,5,5
m,10,0,8,5,5,5
m,10,0,9,7,7,7
m,10,0,10,2488,2488,2488
m,10,1,1,6,6,6
m,10,1,2,11,11,11
m,10,1,3,12,12,12
m,10,1,4,8,8,8
m,10,1,5,3,3,3
m,10,1,6,5,5,5
m,10,1,7,8,8,8
m,10,1,8,13,13,13
m,10,1,9,28,28,28
m,10,1,10,2466,2466,2466
m,10,2,1,6,6,6
m,10,2,2,14,14,14
m,10,2,3,12,12,12
m,10,2,4,7,7,7
m,10,2,5,7,7,7
m,10,2,6,4,4,4
m,10,2,7,9,9,9
m,10,2,8,13,13,13
m,10,2,9,36,36,36
m,10,2,10,2338,2338,2338
m,10,3,1,6,6,6
m,10,3,2,16,16,16
m,10,3,3,22,22,22
m,10,3,4,16,16,16
m,10,3,5,14,14,14
m,10,3,6,18,18,18
m,10,3,7,14,14,14
m,10,3,8,24,24,24
m,10,3,9,59,59,59
m,10,3,10,2360,2360,2360
m,10,4,1,10,10,10
m,10,4,2,22,22,22
m,10,4,3,22,22,22
m,10,4,4,19,19,19
m,10,4,5,19,19,19
m,10,4,6,19,19,19
m,10,4,7,19,19,19
m,10,4,8,29,29,29
m,10,4,9,98,98,98
m,10,4,10,2232,2232,2232
m,15,0,1,1,1,1
m,15,0,2,3,3,3
